Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
  199    18.6    32.8    23.3    0.80    0.00    0.00    0.80    0.00    5.27    2.92    0.04  174.07   1.200   0.728   1.000
  200    20.2    32.2    21.1    1.80    0.00    0.00    1.80    0.00    5.60    3.03    0.04  172.80   1.192   0.717   1.000
  201    19.0    32.8    22.8    0.50    0.00    0.00    0.50    0.00    5.36    2.86    0.03  170.41   1.175   0.697   1.000
  202    19.0    33.3    24.4   20.10    0.00    0.00   20.10    0.00    5.45    2.82    0.03  187.65   1.294   0.841   1.000
  203    26.2    33.9    21.1    0.00    0.00    0.00    0.00    0.00    7.39    4.62    0.06  182.97   1.262   0.802   1.000
  204    24.4    35.6    20.0    0.00    0.00    0.00    0.00    0.00    7.14    4.26    0.05  178.66   1.232   0.766   1.000
  205    23.8    35.0    20.0   14.50    0.00    0.00   14.50    0.00    6.74    3.84    0.05  189.28   1.305   0.855   1.000
  206    17.0    32.8    22.2    1.00    0.00    0.00    1.00    0.00    4.78    3.04    0.04  187.20   1.291   0.838   1.000
  207    22.0    33.9    21.7    1.00    0.00    0.00    1.00    0.00    6.23    3.88    0.05  184.28   1.271   0.813   1.000
  208    20.3    33.9    21.7    0.00    0.00    0.00    0.00    0.00    5.75    3.48    0.04  180.76   1.247   0.784   1.000
  209    24.6    33.3    22.2    5.10    0.00    0.00    5.10    0.00    6.95    4.05    0.05  181.76   1.254   0.792   1.000
  210    22.8    33.3    22.8    0.00    0.00    0.00    0.00    0.00    6.47    3.81    0.05  177.90   1.227   0.760   1.000
  211    18.7    33.3    23.3    0.00    0.00    0.00    0.00    0.00    5.32    3.01    0.04  174.86   1.206   0.734   1.000
  212    11.6    31.1    22.2    1.30    0.00    0.00    1.30    0.00    3.20    1.75    0.02  174.39   1.203   0.731   1.000
  213    21.2    33.3    21.1    2.50    0.00    0.00    2.50    0.00    5.94    3.23    0.04  173.63   1.197   0.724   1.000
  214    17.3    31.7    22.8   18.00    0.00    0.00   18.00    0.00    4.83    2.60    0.03  189.00   1.303   0.853   1.000
  215    14.5    31.7    22.2    1.80    0.00    0.00    1.80    0.00    4.03    2.55    0.03  188.21   1.298   0.846   1.000
  216    22.3    32.2    22.8   10.40    0.00    0.00   10.40    0.00    6.25    3.93    0.05  194.63   1.342   0.900   1.000
  217    16.3    32.2    23.9    1.30    0.00    0.00    1.30    0.00    4.61    3.08    0.04  192.81   1.330   0.885   1.000
  218    23.5    34.4    23.3    0.00    0.00    0.00    0.00    0.00    6.77    4.45    0.05  188.31   1.299   0.847   1.000
  219    24.4    35.6    24.4    0.00    0.00    0.00    0.00    0.00    7.36    4.63    0.06  183.62   1.266   0.808   1.000
  220    23.7    37.8    23.9    0.00    0.00    0.00    0.00    0.00    7.99    4.80    0.06  178.77   1.233   0.767   1.000
  221    22.8    36.7    24.4    0.00    0.00    0.00    0.00    0.00    7.29    4.16    0.05  174.56   1.204   0.732   1.000
  222    18.8    35.6    24.4   88.90    0.00    8.78   80.12    0.00    5.67    3.08    0.04  251.56   1.735   1.000   1.000
  223    15.6    35.0    20.6    5.60    0.00    0.00    5.60    0.51    4.44    4.40    0.04  252.22   1.739   1.000   1.000
  224    15.0    32.8    21.7    3.30    0.00    0.00    3.30    0.57    4.20    4.16    0.04  250.74   1.729   1.000   1.000
  225    12.9    30.0    22.8    0.00    0.00    0.00    0.00    0.42    3.53    3.50    0.03  246.78   1.702   1.000   1.000
  226     7.6    27.8    22.8    2.50    0.00    0.00    2.50    0.03    2.03    2.02    0.02  247.22   1.705   1.000   1.000
  227     7.3    27.8    22.2    2.00    0.00    0.00    2.00    0.07    1.94    1.93    0.02  247.20   1.705   1.000   1.000
  228    16.8    31.7    21.7    0.00    0.00    0.00    0.00    0.07    4.65    4.61    0.04  242.48   1.672   1.000   1.000
  229    22.0    33.9    22.8    0.00    0.00    0.00    0.00    0.00    6.28    6.07    0.06  236.36   1.630   1.000   1.000
  230    21.4    34.4    22.8    0.00    0.00    0.00    0.00    0.00    6.14    5.70    0.06  230.61   1.590   1.000   1.000
  231    19.3    33.9    22.2    0.00    0.00    0.00    0.00    0.00    5.49    4.90    0.05  225.66   1.556   1.000   1.000
  232    23.5    34.4    23.3    0.00    0.00    0.00    0.00    0.00    6.77    5.83    0.06  219.77   1.516   1.000   1.000
  233    21.0    35.0    22.8    0.00    0.00    0.00    0.00    0.00    6.06    5.00    0.05  214.72   1.481   1.000   1.000
  234    22.5    33.9    22.8    0.00    0.00    0.00    0.00    0.00    6.42    5.10    0.06  209.56   1.445   1.000   1.000
  235    22.5    35.0    21.7    0.00    0.00    0.00    0.00    0.00    6.45    4.91    0.06  204.59   1.411   0.983   1.000
  236    22.4    36.7    20.0    0.00    0.00    0.00    0.00    0.00    6.95    5.08    0.06  199.45   1.376   0.940   1.000
  237    21.4    35.0    22.2    0.00    0.00    0.00    0.00    0.00    6.15    4.30    0.05  195.10   1.346   0.904   1.000
  238    22.5    35.6    22.2    0.00    0.00    0.00    0.00    0.00    6.69    4.49    0.05  190.56   1.314   0.866   1.000
  239    22.1    36.1    22.2    0.00    0.00    0.00    0.00    0.00    6.75    4.34    0.05  186.16   1.284   0.829   1.000
  240    22.1    35.6    22.8    0.00    0.00    0.00    0.00    0.00    6.59    4.06    0.05  182.05   1.256   0.795   1.000
  241    21.7    36.1    22.8    0.00    0.00    0.00    0.00    0.00    6.65    3.93    0.05  178.08   1.228   0.761   1.000
  242    15.3    35.0    23.3    0.80    0.00    0.00    0.80    0.00    4.43    2.51    0.03  176.34   1.216   0.747   1.000
  243    21.4    34.4    22.2    0.00    0.00    0.00    0.00    0.00    6.12    3.39    0.04  172.90   1.192   0.718   1.000
  244    14.4    33.9    22.2    0.30    0.00    0.00    0.30    0.00    4.09    2.18    0.03  170.99   1.179   0.702   1.000
  245     7.6    27.8    20.6    2.00    0.00    0.00    2.00    0.00    2.00    1.04    0.01  171.93   1.186   0.710   1.000
  246     7.7    28.9    22.8    1.30    0.00    0.00    1.30    0.00    2.09    1.10    0.01  172.12   1.187   0.712   1.000
  247    12.5    31.1    22.2    0.00    0.00    0.00    0.00    0.00    3.45    1.83    0.02  170.27   1.174   0.696   1.000
  248    14.3    33.3    21.7    0.00    0.00    0.00    0.00    0.00    4.03    2.08    0.03  168.16   1.160   0.678   1.000
  249    11.2    32.2    22.2    2.00    0.00    0.00    2.00    0.00    3.13    1.58    0.02  168.57   1.163   0.682   1.000
  250    21.6    34.4    20.6    0.00    0.00    0.00    0.00    0.00    6.10    3.09    0.04  165.44   1.141   0.656   1.000
  251    18.2    32.8    20.6    1.00    0.00    0.00    1.00    0.00    5.06    2.47    0.03  163.94   1.131   0.643   1.000
  252    21.4    34.4    21.7    0.00    0.00    0.00    0.00    0.00    6.09    2.91    0.04  160.99   1.110   0.619   1.000
  253    18.8    35.0    21.7    0.00    0.00    0.00    0.00    0.00    5.39    2.48    0.03  158.49   1.093   0.598   1.000
  254    11.5    32.8    22.2    0.50    0.00    0.00    0.50    0.00    3.23    1.44    0.02  157.53   1.086   0.590   1.000
  255     7.8    31.7    22.2   46.70    0.00    0.12   46.58    0.00    2.17    0.95    0.01  203.15   1.401   0.971   1.000
  256    17.6    32.2    21.7    3.30    0.00    0.00    3.30    0.00    4.90    3.53    0.04  202.87   1.399   0.969   1.000
  257    20.0    33.9    21.7    0.00    0.00    0.00    0.00    0.00    5.67    4.08    0.05  198.74   1.371   0.934   1.000
  258    20.3    33.9    22.2    0.00    0.00    0.00    0.00    0.00    5.77    4.01    0.05  194.69   1.343   0.900   1.000
  259    20.7    34.4    22.2    0.00    0.00    0.00    0.00    0.00    5.92    3.96    0.05  190.68   1.315   0.867   1.000
  260    20.7    34.4    22.2    0.00    0.00    0.00    0.00    0.00    5.92    3.81    0.05  186.82   1.288   0.834   1.000
  261    16.5    32.8    20.6    0.50    0.00    0.00    0.50    0.00    4.59    2.84    0.03  184.44   1.272   0.815   1.000
  262    14.1    31.7    21.7   31.50    0.00    0.00   31.50    0.00    3.90    2.36    0.03  213.55   1.473   1.000   1.000
  263    13.2    31.7    22.2    0.00    0.00    0.00    0.00    0.00    3.67    2.88    0.03  210.64   1.453   1.000   1.000
  264    20.3    31.7    20.0    0.00    0.00    0.00    0.00    0.00    5.55    4.27    0.05  206.32   1.423   0.997   1.000
  265    10.4    30.6    18.3    0.00    0.00    0.00    0.00    0.00    2.78    2.06    0.03  204.24   1.409   0.980   1.000
  266     7.6    25.6    21.7    0.00    0.00    0.00    0.00    0.00    1.97    1.43    0.02  202.79   1.399   0.968   1.000
  267    20.8    30.0    15.6    0.00    0.00    0.00    0.00    0.00    5.41    3.89    0.05  198.85   1.371   0.935   1.000
  268    19.3    30.6    15.0    0.00    0.00    0.00    0.00    0.00    5.03    3.49    0.04  195.31   1.347   0.905   1.000
  269    15.8    31.1    16.7    0.00    0.00    0.00    0.00    0.00    4.19    2.82    0.03  192.46   1.327   0.882   1.000
  270    15.8    32.8    17.8    0.00    0.00    0.00    0.00    0.00    4.31    2.82    0.03  189.60   1.308   0.858   1.000
  271    14.5    32.2    20.6    0.00    0.00    0.00    0.00    0.00    4.00    2.55    0.03  187.02   1.290   0.836   1.000
  272    15.3    33.3    21.1    0.80    0.00    0.00    0.80    0.00    4.29    2.67    0.03  185.12   1.277   0.820   1.000
  273     6.5    30.0    22.2    3.30    0.00    0.00    3.30    0.00    1.77    1.08    0.01  187.32   1.292   0.839   1.000
  274    21.9    27.8    16.1    6.90    0.00    0.00    6.90    0.00    5.57    3.47    0.04  190.71   1.315   0.867   1.000
  275    22.5    28.9    14.4    0.00    0.00    0.00    0.00    0.00    5.72    3.69    0.04  186.98   1.289   0.836   1.000
  276    22.3    28.9    12.8    0.00    0.00    0.00    0.00    0.00    5.60    3.48    0.04  183.45   1.265   0.806   1.000
  277    22.3    28.9    10.0    0.00    0.00    0.00    0.00    0.00    5.48    3.28    0.04  180.13   1.242   0.778   1.000
  278    21.8    28.3    11.1    0.00    0.00    0.00    0.00    0.00    5.37    3.11    0.04  176.98   1.221   0.752   1.000
  279    20.7    27.8    11.7    0.00    0.00    0.00    0.00    0.00    5.09    2.85    0.03  174.10   1.201   0.728   1.000
  280    19.1    26.7    12.8    0.00    0.00    0.00    0.00    0.00    4.68    2.53    0.03  171.54   1.183   0.707   1.000
  281    19.9    26.1     7.8    0.00    0.00    0.00    0.00    0.00    4.64    2.44    0.03  169.07   1.166   0.686   1.000
  282    17.7    27.8    10.6    0.00    0.00    0.00    0.00    0.00    4.31    2.20    0.03  166.85   1.151   0.667   1.000
  283    11.3    27.8    16.7    0.00    0.00    0.00    0.00    0.00    2.89    1.43    0.02  165.40   1.141   0.655   1.000
  284     4.1    24.4    20.6    0.00    0.00    0.00    0.00    0.00    1.04    0.51    0.01  164.88   1.137   0.651   1.000
  285     6.9    25.0    19.4    0.00    0.00    0.00    0.00    0.00    1.74    0.84    0.01  164.03   1.131   0.644   1.000
  286    19.0    21.7    13.3    0.00    0.00    0.00    0.00    0.00    4.39    2.10    0.03  161.90   1.117   0.626   1.000
  287    20.1    22.2    10.0    0.00    0.00    0.00    0.00    0.00    4.55    2.12    0.03  159.76   1.102   0.608   1.000
  288    13.4    24.4     9.4    0.00    0.00    0.00    0.00    0.00    3.10    1.40    0.02  158.34   1.092   0.596   1.000
  289    20.0    27.8    11.7    0.00    0.00    0.00    0.00    0.00    4.92    2.18    0.03  156.14   1.077   0.578   1.000
  290    17.7    29.4    15.0    0.00    0.00    0.00    0.00    0.00    4.55    1.95    0.02  154.16   1.063   0.561   1.000
  291    19.9    29.4    15.0    0.00    0.00    0.00    0.00    0.00    5.12    2.13    0.03  152.00   1.048   0.543   1.000
  292    16.7    31.1    15.6    0.00    0.00    0.00    0.00    0.00    4.40    1.77    0.02  150.20   1.036   0.528   1.000
  293    16.6    31.1    16.7    0.00    0.00    0.00    0.00    0.00    4.40    1.73    0.02  148.45   1.024   0.514   1.000
